# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Edmila hp\Desktop\contador\pinos.csv
# Generated on: Fri Jul 26 23:53:32 2019

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
clock,Input,PIN_L1,2,B2_N1,PIN_L1,,,,
f_data[7],Input,PIN_AA19,7,B7_N0,PIN_P18,,,,
f_data[6],Input,PIN_AB19,7,B7_N0,PIN_Y20,,,,
f_data[5],Input,PIN_AA18,7,B7_N0,PIN_R19,,,,
f_data[4],Input,PIN_AB18,7,B7_N0,PIN_U18,,,,
f_data[3],Input,PIN_AA17,7,B7_N1,PIN_R20,,,,
f_data[2],Input,PIN_AB17,7,B7_N1,PIN_R17,,,,
f_data[1],Input,PIN_AA16,7,B7_N1,PIN_U20,,,,
f_data[0],Input,PIN_AB16,7,B7_N1,PIN_R18,,,,
f_out_ena,Output,PIN_AA15,7,B7_N1,PIN_V20,,,,
f_reset,Output,PIN_W14,7,B7_N1,PIN_T6,,,,
f_write_ena,Output,PIN_Y14,7,B7_N0,PIN_Y10,,,,
flash_adress[21],Output,PIN_R13,7,B7_N0,PIN_D7,,,,
flash_adress[20],Output,PIN_U13,7,B7_N1,PIN_B5,,,,
flash_adress[19],Output,PIN_V14,7,B7_N1,PIN_AB3,,,,
flash_adress[18],Output,PIN_U14,7,B7_N0,PIN_B7,,,,
flash_adress[17],Output,PIN_AA20,7,B7_N0,PIN_P15,,,,
flash_adress[16],Output,PIN_AB12,7,B7_N1,PIN_Y9,,,,
flash_adress[15],Output,PIN_AA12,7,B7_N1,PIN_Y14,,,,
flash_adress[14],Output,PIN_AB13,7,B7_N1,PIN_F21,,,,
flash_adress[13],Output,PIN_AA13,7,B7_N1,PIN_P2,,,,
flash_adress[12],Output,PIN_AB14,7,B7_N1,PIN_U14,,,,
flash_adress[11],Output,PIN_T12,7,B7_N1,PIN_B13,,,,
flash_adress[10],Output,PIN_R12,7,B7_N1,PIN_W11,,,,
flash_adress[9],Output,PIN_Y13,7,B7_N1,PIN_D21,,,,
flash_adress[8],Output,PIN_R14,7,B7_N0,PIN_J20,,,,
flash_adress[7],Output,PIN_W15,7,B7_N0,PIN_W3,,,,
flash_adress[6],Output,PIN_V15,7,B7_N0,PIN_G12,,,,
flash_adress[5],Output,PIN_U15,7,B7_N0,PIN_F9,,,,
flash_adress[4],Output,PIN_T15,7,B7_N0,PIN_T22,,,,
flash_adress[3],Output,PIN_R15,7,B7_N0,PIN_U9,,,,
flash_adress[2],Output,PIN_Y16,7,B7_N0,PIN_J14,,,,
flash_adress[1],Output,PIN_AA14,7,B7_N1,PIN_E1,,,,
flash_adress[0],Output,PIN_AB20,7,B7_N0,PIN_W2,,,,
key,Input,,,,PIN_U19,,,,
led,Output,PIN_R20,6,B6_N0,PIN_P17,,,,
reset,Input,PIN_L22,5,B5_N1,PIN_L22,,,,
saida[7],Output,PIN_Y21,6,B6_N1,PIN_Y21,,,,
saida[6],Output,PIN_Y22,6,B6_N1,PIN_Y22,,,,
saida[5],Output,PIN_W21,6,B6_N1,PIN_W21,,,,
saida[4],Output,PIN_W22,6,B6_N1,PIN_W22,,,,
saida[3],Output,PIN_V21,6,B6_N1,PIN_V21,,,,
saida[2],Output,PIN_V22,6,B6_N1,PIN_V22,,,,
saida[1],Output,PIN_U21,6,B6_N1,PIN_U21,,,,
saida[0],Output,PIN_U22,6,B6_N1,PIN_U22,,,,
sw[9],Input,,,,PIN_E21,,,,
sw[8],Input,,,,PIN_H19,,,,
sw[7],Input,,,,PIN_Y4,,,,
sw[6],Input,,,,PIN_H12,,,,
sw[5],Input,,,,PIN_A7,,,,
sw[4],Input,,,,PIN_T21,,,,
sw[3],Input,,,,PIN_U10,,,,
sw[2],Input,,,,PIN_D16,,,,
sw[1],Input,,,,PIN_E2,,,,
sw[0],Input,,,,PIN_Y1,,,,
